"","Parameter1","Parameter2","rho","CI","CI_low","CI_high","t","df_error","p","Method","n_Obs"
"1","cpa_1_t1","cpa_2_t1",0.295246348796651,0.95,0.211330228180299,0.37484172989595,6.75621759412637,478,0.00000000966413659770877,"Polychoric correlation",480
"2","cpa_1_t1","cpa_3_rs_t1",0.153578682772796,0.95,0.0649712817597588,0.239783230279309,3.39803602928598,478,0.0963419181876186,"Polychoric correlation",480
"3","cpa_1_t1","cpa_4_t1",0.281696754336094,0.95,0.197167278525407,0.362068736625316,6.41873187764766,478,0.0000000755920236288372,"Polychoric correlation",480
"4","cpa_1_t1","cpa_5_rs_t1",0.0568643242467901,0.95,-0.0328030779742536,0.145623644560502,1.24525164832841,478,1,"Polychoric correlation",480
"5","cpa_1_t1","cpa_6_t1",0.234632969401369,0.95,0.148245637027691,0.317466700483339,5.27714679220946,478,0.0000396771806091508,"Polychoric correlation",480
"6","cpa_1_t1","cpa_7_t1",0.196335712335271,0.95,0.108746159797926,0.28090015159382,4.37773412785672,478,0.00240278048860005,"Polychoric correlation",480
"7","cpa_1_t1","cpa_8_t1",0.243161544499137,0.95,0.157079624377458,0.325576456467754,5.48079379069675,478,0.0000140715391471121,"Polychoric correlation",480
"8","cpa_1_t1","cpa_9_t1",0.187360184808656,0.95,0.0995287091947522,0.272294580324866,4.1701431665419,478,0.00578430552440714,"Polychoric correlation",480
"9","cpa_1_t1","cpa_10_t1",0.223818237203032,0.95,0.13706341396448,0.307165601651126,5.02075745388972,478,0.000139727247351913,"Polychoric correlation",480
"10","cpa_1_t1","cpa_11_rs_t1",0.249819812237588,0.95,0.163985916381909,0.331899334198627,5.64071722135667,478,0.00000609577762705853,"Polychoric correlation",480
"11","cpa_1_t1","cpa_12_t1",0.207673430065263,0.95,0.120411039170726,0.291751145291484,4.64160328338654,478,0.000765775365887611,"Polychoric correlation",480
"12","cpa_1_t1","cpa_1_v2_t2",0.222761256054354,0.95,0.135971700836819,0.306157771797865,4.99580583607207,478,0.000156390264046596,"Polychoric correlation",480
"13","cpa_1_t1","cpa_2_t2",0.207714325365966,0.95,0.12045315820875,0.291790245840025,4.64255852347371,478,0.000765775365887611,"Polychoric correlation",480
"14","cpa_1_t1","cpa_3_rs_t2",0.213353394933774,0.95,0.126263979342186,0.297179146796643,4.7745232771858,478,0.000431746636077591,"Polychoric correlation",480
"15","cpa_1_t1","cpa_4_t2",0.214132553547433,0.95,0.127067339343838,0.297923319565518,4.79279598732281,478,0.000398056464830762,"Polychoric correlation",480
"16","cpa_1_t1","cpa_5_v2_t2",0.20725086209183,0.95,0.119975844808255,0.291347105899332,4.6317343497006,478,0.000795746526149398,"Polychoric correlation",480
"17","cpa_1_t1","cpa_6_t2",0.0841958640919444,0.95,-0.00534486731739233,0.172397207983585,1.84735148203313,478,1,"Polychoric correlation",480
"18","cpa_1_t1","cpa_7_t2",0.137184822835942,0.95,0.0482771195345749,0.223935770940674,3.02792838814463,478,0.306263910020394,"Polychoric correlation",480
"19","cpa_1_t1","cpa_8_t2",0.189064332641447,0.95,0.101277631460801,0.273929531668314,4.20947250416594,478,0.00492452233662771,"Polychoric correlation",480
"20","cpa_1_t1","cpa_9_t2",0.115769713634247,0.95,0.0265442960209539,0.203165085180772,2.54823179298366,478,1,"Polychoric correlation",480
"21","cpa_1_t1","cpa_10_t2",0.256871520788669,0.95,0.171309491401874,0.338587802084875,5.81102186739957,478,0.00000244081875255193,"Polychoric correlation",480
"22","cpa_1_t1","cpa_11_rs_t2",0.169153376107983,0.95,0.0808773480771637,0.254796390862647,3.75230770170388,478,0.0279371707710372,"Polychoric correlation",480
"23","cpa_1_t1","cpa_12_t2",0.185316162197365,0.95,0.0974316979276086,0.270332907613442,4.12302143381736,478,0.00687825934951112,"Polychoric correlation",480
"24","cpa_2_t1","cpa_3_rs_t1",0.049466553338585,0.95,-0.0402119308970018,0.138354474274687,1.08282331168303,478,1,"Polychoric correlation",480
"25","cpa_2_t1","cpa_4_t1",0.635245114689237,0.95,0.578643264537951,0.6857570403915,17.9830475784112,478,0.0000000000000000000000000000000000000000000000000000365771716255648,"Polychoric correlation",480
"26","cpa_2_t1","cpa_5_rs_t1",0.0680249471554814,0.95,-0.0216070571036491,0.156572149418027,1.49069679988895,478,1,"Polychoric correlation",480
"27","cpa_2_t1","cpa_6_t1",0.242375434830616,0.95,0.156264786998348,0.324829457863581,5.46196732633856,478,0.0000154752209209356,"Polychoric correlation",480
"28","cpa_2_t1","cpa_7_t1",0.18258786500339,0.95,0.0946338885342742,0.267713428087444,4.06021105406499,478,0.00882115075732922,"Polychoric correlation",480
"29","cpa_2_t1","cpa_8_t1",0.411763155611031,0.95,0.334593470535514,0.483447138012789,9.87880467376829,478,0.00000000000000000121330693198133,"Polychoric correlation",480
"30","cpa_2_t1","cpa_9_t1",0.243469354073162,0.95,0.157398714524752,0.325868923663526,5.48816861678914,478,0.0000135960589656262,"Polychoric correlation",480
"31","cpa_2_t1","cpa_10_t1",0.408643606992149,0.95,0.331258531731247,0.480567873924343,9.78888992410613,478,0.00000000000000000254067677112757,"Polychoric correlation",480
"32","cpa_2_t1","cpa_11_rs_t1",0.245810957418961,0.95,0.159826721252958,0.328093296540156,5.54432913966816,478,0.0000101674776833129,"Polychoric correlation",480
"33","cpa_2_t1","cpa_12_t1",0.515894657447268,0.95,0.447035066248555,0.578676016525433,13.1665056476935,478,0.000000000000000000000000000000145235690830518,"Polychoric correlation",480
"34","cpa_2_t1","cpa_1_v2_t2",0.124619570748006,0.95,0.0355152354220633,0.211758178947811,2.74599008252774,478,0.63229570118071,"Polychoric correlation",480
"35","cpa_2_t1","cpa_2_t2",0.322134548465973,0.95,0.239540325982645,0.400099654663621,7.43946450753458,478,0.000000000115355250798592,"Polychoric correlation",480
"36","cpa_2_t1","cpa_3_rs_t2",0.00116614356132144,0.95,-0.088343531684101,0.0906571364391532,0.0254956602003225,478,1,"Polychoric correlation",480
"37","cpa_2_t1","cpa_4_t2",0.323639370058332,0.95,0.241123260473099,0.401509745440241,7.4782726905324,478,0.0000000000889728313454583,"Polychoric correlation",480
"38","cpa_2_t1","cpa_5_v2_t2",-0.0216050875100098,0.95,-0.11089111602015,0.0680269085503962,-0.47246687112953,478,1,"Polychoric correlation",480
"39","cpa_2_t1","cpa_6_t2",0.110765712559535,0.95,0.0214781834877049,0.198300301130577,2.43668820621746,478,1,"Polychoric correlation",480
"40","cpa_2_t1","cpa_7_t2",0.107554051803664,0.95,0.0182290725476904,0.195175718483487,2.36519688311259,478,1,"Polychoric correlation",480
"41","cpa_2_t1","cpa_8_t2",0.232736901803475,0.95,0.146283541746834,0.315662096642894,5.2320494867447,478,0.0000495155217136573,"Polychoric correlation",480
"42","cpa_2_t1","cpa_9_t2",0.0527284722397418,0.95,-0.0369463405500287,0.141560869831168,1.1544196487839,478,1,"Polychoric correlation",480
